"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"86",-26.694101,-51.890228,"Araucaria moist forests",41.4001091251506,0.034,15.779167175293,322.775299072266,1817,16.3521270751953,1053,2
"88",-26.463121,-52.583092,"Araucaria moist forests",18.7822431174841,0.085,17.4916667938232,335.422607421875,2056,13.8279733657837,865,1
"89",-27.236279,-52.590328,"Alto Parana Atlantic forest",37.728355288049,0.162,19.1791667938232,363.571044921875,1970,10.7961883544922,276,0.38
"90",-27.184507,-52.773409,"Alto Parana Atlantic forest",35.9584197221004,0.163,19.4916667938232,375.849517822266,1901,11.2131452560425,281,1.42
"91",-27.495242,-50.875477,"Araucaria moist forests",38.0060033902313,0.078,15.9875001907349,334.345520019531,1612,15.2163047790527,839,2.56
"94",-27.805773,-49.080762,"Araucaria moist forests",87.7292537456578,0.055,14.404167175293,289.155975341797,1726,23.3100662231445,591,1.64
"95",-27.67913,-49.17669,"Araucaria moist forests",46.0172262981928,0.044,15.8625001907349,304.094207763672,1656,24.8232250213623,530,0.93
"96",-27.879469,-49.572287,"Araucaria moist forests",76.563787211217,0.055,15.0541667938232,304.186370849609,1607,19.4580326080322,1118,0.68
"97",-27.877318,-49.569782,"Araucaria moist forests",75.2408303463539,0.055,15.0541667938232,304.186370849609,1607,19.4580326080322,1136,0.74
"98",-27.038991,-52.161077,"Araucaria moist forests",35.5748655475173,0.198,16.9958324432373,326.451019287109,2033,13.6782388687134,853,3.2
"99",-27.092555,-52.175444,"Araucaria moist forests",41.0801790167257,0.16,18.3500003814697,342.563873291016,1950,13.7815313339233,601,1.56
"100",-15.197909,-39.130037,"Bahia coastal forests",84.4672808379803,0.035,23.9833335876465,144.856262207031,1752,10.3209142684937,34,0.13
"101",-15.09426481,-40.0295048,"Bahia interior forests",8.74489229544982,0.016,23.1499996185303,163.262191772461,902,42.8069267272949,296,0.52
"102",-14.336704,-39.07725,"Bahia coastal forests",86.3684945490157,0.035,23.8333339691162,130.494415283203,2120,19.1404724121094,20,0.15
"103",-15.319412,-39.500344,"Bahia coastal forests",92.8399340360105,0.036,23.2250003814697,152.740112304688,1314,18.3913135528564,235,1.98
"104",-14.678481,-39.182229,"Bahia coastal forests",81.6381342690289,0.034,24.1000003814697,132.97297668457,1825,16.0142498016357,22,0.43
"105",-15.182874,-39.068268,"Bahia coastal forests",91.664666607476,0.034,24.0708332061768,144.402496337891,1820,10.2063226699829,7,0.12
"106",-15.21039,-39.177846,"Bahia coastal forests",72.9479297470146,0.034,23.875,147.038970947266,1707,10.4991960525513,54,0.27
"107",-15.182602,-39.20443,"Bahia coastal forests",87.6784700819195,0.034,23.8250007629395,145.344421386719,1676,11.2048435211182,66,0.26
"108",-15.080407,-39.137986,"Bahia coastal forests",74.412571032787,0.034,24.0125007629395,142.064743041992,1769,10.3884296417236,38,0.33
"109",-15.092384,-39.108383,"Bahia coastal forests",79.6398070956532,0.034,24.1416664123535,142.140014648438,1801,10.3983716964722,24,0.22
"110",-15.196274,-39.247651,"Bahia coastal forests",93.0289460901817,0.034,23.5791664123535,146.542831420898,1635,11.1155891418457,83,0.34
"111",-14.642373,-39.189916,"Bahia coastal forests",84.7550330283618,0.034,24.408332824707,134.685394287109,1761,18.2413234710693,22,0.2
"112",-15.212483,-39.146331,"Bahia coastal forests",73.7200993658615,0.034,23.8500003814697,144.960815429688,1747,10.0577602386475,39,0.22
"113",-15.14416,-39.070573,"Bahia coastal forests",89.9981426534762,0.034,24.0625,143.354705810547,1830,10.4364004135132,14,0.16
