"","Latitude","Longitude","BSR","5kmForestCover","PropAge","MeanTemperature","TemperatureSeasonality","AnnualPrecipitation","PrecipitationSeasonality","Elevation","Slope"
"97",-21.102192,-42.539028,"Bahia interior forests",22.5367466577176,0.386,20.0750007629395,236.84001159668,1328,76.862678527832,646,0.67
"99",-21.141713,-42.603549,"Bahia interior forests",16.1111142989587,0.139,21.0708332061768,234.902893066406,1310,79.4519500732422,591,0.75
"103",-14.2194,-39.6466,"Bahia coastal forests",23.8444563021766,0.037,23.5541667938232,144.559814453125,1268,19.5074291229248,106,1.29
"104",-14.2332,-39.6893,"Bahia interior forests",20.3512220564444,0,23.1208324432373,147.285385131836,1273,19.4605731964111,200,2.07
"105",-14.224,-39.6977,"Bahia interior forests",16.7307450660804,0.153,23.4166660308838,145.216674804688,1260,20.0084133148193,176,1.98
"107",-25.131453,-47.964286,"Serra do Mar coastal forests",87.8919343679155,0,18.6666660308838,291.908538818359,2243,40.6741600036621,193,4.12
"108",-23.147482,-44.234961,"Serra do Mar coastal forests",97.905109255564,0.025,19.279167175293,223.57080078125,1631,59.3964653015137,576,7.9
"110",-23.852427,-45.321069,"Serra do Mar coastal forests",92.6484424090481,0.015,19.654167175293,251.345993041992,2395,41.1668739318848,346,7.43
"111",-22.459444,-44.080833,"Alto Parana Atlantic forest",32.7355839922379,0.223,20.9750003814697,242.501159667969,1387,73.1729125976562,318,1.06
"112",-24.86859,-53.64653,"Araucaria moist forests",20.9795054321623,0.06,19.0499992370605,311.659790039062,1596,24.3425464630127,591,1.51
"113",-24.89016,-53.35859,"Araucaria moist forests",25.9485293527279,0.038,18.3541660308838,308.290435791016,1784,26.0498580932617,707,0.83
"114",-24.8988,-53.37931,"Araucaria moist forests",21.883609238085,0.035,18.2958335876465,308.54833984375,1791,25.0610504150391,707,0.76
"115",-25.00216,-53.35315,"Araucaria moist forests",34.6615157412583,0.061,17.9624996185303,306.469085693359,1826,22.6812801361084,750,2.26
"116",-25.00817,-53.29168,"Araucaria moist forests",23.2674905614501,0.195,17.7625007629395,303.765197753906,1843,23.1712455749512,799,1.48
"117",-24.94387,-53.51146,"Araucaria moist forests",4.96377033493753,0.062,18.3916664123535,309.837463378906,1771,22.9465007781982,623,0.2
"118",-24.95144,-53.43196,"Araucaria moist forests",6.99895824175569,0.11,18.375,314.588470458984,1842,23.1130676269531,667,0.69
"119",-24.95881,-53.44147,"Araucaria moist forests",7.48209791566544,0.13,18.4500007629395,316.486389160156,1817,23.1347751617432,656,0.59
"120",-25.12204,-53.7138,"Araucaria moist forests",93.7991008651445,0.004,18.6708335876465,312.689636230469,1794,22.199779510498,606,0.33
"122",-27.8975,-48.854722,"Serra do Mar coastal forests",92.0213194645901,0.056,15.5791664123535,293.702514648438,1704,26.2265300750732,926,0.97
"123",-27.684167,-49.168611,"Araucaria moist forests",45.7669151134534,0.071,15.3000001907349,299.241455078125,1677,23.775505065918,517,0.9
"128",-29.67,-53.51,"Alto Parana Atlantic forest",33.1445057069035,0.088,19.6833343505859,393.425140380859,1618,6.30049991607666,221,2.98
"129",-22.024722,-54.791944,"Alto Parana Atlantic forest",6.7744942740863,0.034,22.6833343505859,266.623107910156,1443,38.311393737793,330,0.41
"133",-22.098889,-54.588889,"Alto Parana Atlantic forest",2.72814982559551,0.04,22.6208324432373,265.342498779297,1477,40.1523208618164,305,0.01
"135",-21.910855,-54.539839,"Alto Parana Atlantic forest",12.3179067266516,0.077,22.9624996185303,256.746490478516,1437,40.9827613830566,288,0.07
"137",-21.603711,-52.235088,"Cerrado",6.67149325399934,0,23.125,246.958786010742,1173,49.6402130126953,295,0.51
"138",-22.539555,-53.893333,"Alto Parana Atlantic forest",42.6879262158723,0.006,21.966667175293,256.012542724609,1497,43.6449737548828,367,0.59
"139",-23.929167,-54.230278,"Alto Parana Atlantic forest",8.17700755629033,0.01,21.3791675567627,313.937286376953,1565,28.8326377868652,216,0.01
"140",-25.494052,-48.980727,"Araucaria moist forests",90.7669724499144,0.035,16.5375003814697,263.793334960938,1945,31.3803329467773,1204,3
"142",-22.85,-55,"Alto Parana Atlantic forest",38.9022866990862,0.015,21.7749996185303,282.476867675781,1561,33.250431060791,407,0.85
"147",-27.2,-53.88,"Alto Parana Atlantic forest",96.7129045788225,0.007,19.7000007629395,393.798522949219,1841,11.1535339355469,345,2.01
"148",-25.440418,-53.138344,"Alto Parana Atlantic forest",64.95139092507,0.009,18.6916675567627,344.804504394531,1824,25.5928287506104,437,1.26
