Species;GapeSize;Gape_Sivault;Gape_AvianFrug;Gape_Bovo;Gape_ATLANTIC;Gape_Pigot;Gape_MammalModel;Reference
Ramphocelus.carbo;9.6;NA;9.6;NA;10.16818182;9.66;NA;McFadden et al., 2022
Rhytipterna.simplex;13.76;NA;NA;13.76;NA;NA;NA;Bovo et al., 2018
Saltator.fuliginosus;15.38;NA;NA;15.38;12.49375;NA;NA;Bovo et al., 2018
Saltator.similis;11.7;NA;NA;11.7;11;11.7;NA;Bovo et al., 2018
Schiffornis.turdina;12.4;NA;12.4;13.85;NA;12.825;NA;McFadden et al., 2022
Schiffornis.virescens;9.8;NA;9.8;9.83;10.20975;NA;NA;McFadden et al., 2022
Selenidera.maculirostris;23.3;NA;23.3;23.3;25.039;NA;NA;McFadden et al., 2022
Sirystes.sibilator;12.9;NA;NA;12.9;NA;12.9;NA;Bovo et al., 2018
Stephanophorus.diadematus;9.9;NA;9.9;NA;5.995909091;NA;NA;McFadden et al., 2022
Tachyphonus.coronatus;9.01;NA;NA;9.01;8.417368421;8.775;NA;Bovo et al., 2018
Tachyphonus.cristatus;8.6;NA;8.6;NA;NA;NA;NA;McFadden et al., 2022
Tangara.cayana;8.3;NA;8.3;NA;7.41884058;7.475;NA;McFadden et al., 2022
Tangara.cyanocephala;7.3;NA;7.3;6.68;5.1685;NA;NA;McFadden et al., 2022
Tangara.cyanoptera;7.4;NA;7.4;10;NA;NA;NA;McFadden et al., 2022
Tangara.cyanoventris;6.8;NA;6.8;6.85;NA;NA;NA;McFadden et al., 2022
Tangara.desmaresti;7.3;NA;7.3;7.33;4.591875;NA;NA;McFadden et al., 2022
Tangara.mexicana;8.1;NA;8.1;NA;8;NA;NA;McFadden et al., 2022
Tangara.seledon;7;NA;7;7;6.118571429;NA;NA;McFadden et al., 2022
Tersina.viridis;12.8;NA;12.8;14.33;10.67647059;NA;NA;McFadden et al., 2022
Thamnophilus.caerulescens;9.91;NA;NA;9.91;10.45;NA;NA;Bovo et al., 2018
Thlypopsis.sordida;7.25;NA;NA;NA;7.25;6.9;NA;Bello et al., 2017
Thraupis.bonariensis;10.1;NA;10.1;NA;NA;NA;NA;McFadden et al., 2022
Thraupis.ornata;9.9;NA;9.9;NA;6.518;NA;NA;McFadden et al., 2022
Thraupis.palmarum;9.3;NA;9.3;NA;8.283986928;10.41;NA;McFadden et al., 2022
