Species;Seed.Length;References
Cupania.zanthoxyloides;10;Sapindaceae (Somner, 2009) (In: Flora Fanerogamica do Estado de Sao Paulo)
Daphnopsis.racemosa;9.1;Genus average
Daphnopsis.schwackeana;9.1;Genus average
Dasyphyllum.brasiliense;10;Genus average
Dendropanax.australis;4.5;Genus average
Dendropanax.cuneatus;4.8;ReSeeD
Dendropanax.monogynus;4.5;Genus average
Diatenopteryx.sorbifolia;8.871;ReSeeD
Diospyros.inconstans;15.675;ReSeeD
Diploon.cuspidatum;31;Bello
Dipteryx.alata;25.14;ReSeeD
Drimys.brasiliensis;3.5;Bello
Duguetia.lanceolata;18.75;ReSeeD
Duguetia.salicifolia;18.5;The World Flora Online
Ecclinusa.ramiflora;21.767;ReSeeD
Endlicheria.paniculata;20.85;ReSeeD
Enterolobium.contortisiliquum;15.03;ReSeeD
Enterolobium.timbouva;16.515;Genus average
Eriobotrya.japonica;11;ReSeeD
Erythrina.crista.galli;14.5;ReSeeD
Erythrina.falcata;10.65;ReSeeD
Erythrina.mulungu;13.27;Genus average
Erythrina.speciosa;15.2;ReSeeD
Erythroxylum.anguifugum;9.446;Genus average
Erythroxylum.argentinum;8;Bello
Erythroxylum.cuspidifolium;9.446;Genus average
Erythroxylum.deciduum;7.932;ReSeeD
Erythroxylum.pelleterianum;8;Frugivory and seed dispersal in the Cerrado: Network structure and defaunation effects (Bello Carvalho et al., 2023)
Esenbeckia.febrifuga;5.925;ReSeeD
Esenbeckia.leiocarpa;8.367;ReSeeD
Eugenia.acutata;14.3;Bello
Eugenia.beaurepairiana;20;Bello
Eugenia.brasiliensis;7.1;Bello
Eugenia.brevistyla;13.881;Genus average
Eugenia.capitulifera;13.881;Genus average
Eugenia.cerasiflora;14;Bello
Eugenia.cereja;13.881;Genus average
Eugenia.copacabanensis;20;Bello
Eugenia.disperma;13.881;Genus average
Eugenia.dodonaeifolia;14;Colecionando Frutas
Eugenia.excelsa;5.3;Bello
Eugenia.expansa;16;ReSeeD
Eugenia.florida;9;ReSeeD
Eugenia.gracillima;13;Colecionando Frutas
Eugenia.handroana;20;Diversity of functional traits of fleshy fruits in a species-rich Atlantic rain forest (Morellato et al., 2011)
Eugenia.hiemalis;9;Frugivory and seed dispersal in the Cerrado: Network structure and defaunation effects (Bello Carvalho et al., 2023)
Eugenia.involucrata;12;Bello
Eugenia.ligustrina;9.074;ReSeeD
